Combined I vs V Plots			
Voltage(V)	Current Density  (mA/mm^2)	Current Density Error	
1	0.02918323094	0	
2	0.5231297434	0	
3	1.229671124	0	
4	1.964221178	0	
5	3.072822551	0	
6	6.703837283	0.3906665083	
7	7.35078102	0.2750292219	
8	8.688423145	1.062612903	
9	9.004081684	0.9969809292	
10	10.50111574	0.8125863373	
11	10.68863567	1.062612903	
12	13.50143453	1.250132827	
13	13.56394117	1.937705881	
14	16.17671878	3.200340036	
15	20.10526118	2.497140321	
16	26.33717332	2.522142978	
17	33.37854647	5.250557872	
18	43.34835576	4.156691648	
